hour,node_id,floor,node_category,node_name,flow
18,L3-TOWER-1,L3,Office_Tower,Taikoo Hui Tower 1,0
18,L3-TOWER-2,L3,Office_Tower,Taikoo Hui Tower 2,0
18,L3-G-WEST-NORTH,L3,Landscape_Terrace,West north landscaped terrace,0
18,L3-G-WEST-MAIN,L3,Landscape_Terrace,West central landscaped terrace,0
18,L3-G-SOUTH-CENTER,L3,Landscape_Terrace,South central landscaped terrace,0
18,L3-G-CENTER-WAVE,L3,Landscape_Terrace,Central wave landscaped terrace,0
18,L3-G-HOTEL-EAST,L3,Landscape_Terrace,Hotel east landscaped terrace,0
18,L3-G-EAST-SOUTH,L3,Landscape_Terrace,East south landscaped terrace,0
18,L3-F-ELEVATOR-CENTER,L3,Facility_Elevator,Elevator,0
18,L3-F-ESC-WEST,L3,Facility_Escalator,Escalator,0
18,L3-F-ESC-WEST-MID,L3,Facility_Escalator,Escalator,0
18,L3-F-ESC-CENTER-SOUTH,L3,Facility_Escalator,Escalator,0
18,L3-F-ESC-CENTER-EAST,L3,Facility_Escalator,Escalator,0
18,L3-F-ESC-EAST,L3,Facility_Escalator,Escalator,0
19,C-WEST-LOOP,M,Corridor,West atrium loop corridor,193
19,C-WEST-VERTICAL,M,Corridor,West vertical corridor,1541
19,C-WEST-MAIN,M,Corridor,West main corridor,1456
19,C-CENTER-WEST,M,Corridor,Center west corridor,1670
19,C-CENTER-NORTH,M,Corridor,Center north corridor,922
19,C-CENTER-SOUTH,M,Corridor,Center south corridor,1679
19,C-EAST-HUB,M,Corridor,East hub corridor,677
19,C-EAST-BRIDGE,M,Corridor,East bridge corridor,44
19,C-EAST-TERMINAL,M,Corridor,East terminal corridor,3
19,C-SOUTH-ENTRY,M,Corridor,South entry corridor,1459
19,M37b,M,Retail,M37b,10
19,M36,M,Retail,M36,4
19,M35,M,Retail,M35,7
19,M34,M,Retail,M34,37
19,M33,M,Retail,M33,88
19,M32,M,Retail,M32,36
19,M31,M,Retail,M31,43
19,M30,M,Retail,M30,101
19,M29,M,Retail,M29,107
19,M28,M,Retail,M28,193
19,M27,M,Retail,M27,80
19,M26,M,Retail,M26,181
19,M25,M,Retail,M25,68
19,M24,M,Retail,M24,63
19,M23,M,Retail,M23,24
19,M22,M,Retail,M22,22
19,M21,M,Anchor_Retail,M21,139
19,M20,M,Retail,M20,18
19,M19,M,Retail,M19,6
19,M17_M18,M,Retail,M17 & M18,33
19,M16,M,Retail,M16,17
19,M15,M,Retail,M15,49
19,M14,M,Retail,M14,24
19,M13,M,Retail,M13,53
19,M12b,M,Retail,M12b,15
19,M12a,M,Anchor_Retail,M12a,4
19,M10_M11,M,Retail,M10 & M11,0
19,M09,M,Retail,M09,38
19,M08,M,Retail,M08,19
19,M07,M,Retail,M07,67
19,M06,M,Retail,M06,32
19,M05,M,Retail,M05,127
19,M04,M,Retail,M04,46
19,M03,M,Retail,M03,101
19,M02,M,Retail,M02,110
19,M01,M,Anchor_Retail,M01,156
19,M68,M,Retail,M68,188
19,M67,M,Retail,M67,144
19,M66,M,Retail,M66,129
19,M65,M,Retail,M65,159
19,M64,M,Retail,M64,204
19,M63,M,Retail,M63,88
19,M62,M,Retail,M62,68
19,M61,M,Retail,M61,132
19,M60,M,Retail,M60,107
19,M59,M,Retail,M59,35
19,M58,M,Retail,M58,99
19,M57,M,Retail,M57,144
19,M56,M,Retail,M56,109
19,M55,M,Retail,M55,97
19,M54,M,Retail,M54,31
19,M53,M,Retail,M53,56
19,M52,M,Retail,M52,64
19,M51,M,Retail,M51,112
19,M50,M,Retail,M50,40
19,M49,M,Retail,M49,33
19,M48b,M,Retail,M48b,36
19,M48a,M,Retail,M48a,82
19,M47,M,Retail,M47,108
19,M46,M,Retail,M46,109
19,M45,M,Retail,M45,97
19,M44,M,Retail,M44,54
19,M43,M,Retail,M43,92
19,M42,M,Retail,M42,54
19,M41a,M,Retail,M41a,100
19,M41b,M,Retail,M41b,106
19,M40,M,Retail,M40,10
19,M39,M,Retail,M39,0
19,M38,M,Retail,M38,2
19,M15a,M,Retail_Kiosk,M15a,30
19,A-NORTH-01,M,Unknown_Area,Unlabeled north anchor area,11
19,A-SOUTH-01,M,Unknown_Area,Unlabeled south anchor area,44
19,A-EAST-01,M,Unknown_Area,Unlabeled east anchor area,1
19,F-WC-01,M,Facility_Restroom,Restroom / Accessible WC,22
19,F-WC-02,M,Facility_Restroom,Restroom / Accessible WC,34
19,F-WC-03,M,Facility_Restroom,Restroom / Accessible WC,5
19,F-ELEV-01,M,Facility_Elevator,Elevator bank,14
19,F-ELEV-02,M,Facility_Elevator,Elevator bank,10
19,F-ESC-01,M,Facility_Escalator,Escalator,33
19,F-ESC-02,M,Facility_Escalator,Escalator,29
19,F-ESC-03,M,Facility_Escalator,Escalator,27
19,F-ESC-04,M,Facility_Escalator,Escalator,20
19,F-ESC-05,M,Facility_Escalator,Escalator,27
19,F-ESC-06,M,Facility_Escalator,Escalator,9
19,F-ESC-07,M,Facility_Escalator,Escalator,2
19,F-PARK-01,M,Facility_Parking,Parking access,24
19,F-PARK-02,M,Facility_Parking,Parking access,16
19,F-PARK-03,M,Facility_Parking,Parking access,3
19,F-INFO-01,M,Facility_Service,Information desk,38
19,F-SERVICE-01,M,Facility_Service,Service counter / luggage icon,30
19,E-TRANSIT-01,M,Entrance,Southwest transit entrance,150
19,E-BUS-01,M,Entrance,South transit / bus access,184
19,E-TRANSIT-02,M,Entrance,South transit / rail access,166
19,MU-C-WEST-LOOP,MU,Corridor,West atrium loop corridor,1405
19,MU-C-WEST-NORTH,MU,Corridor,Northwest corridor,636
19,MU-C-WEST-MAIN,MU,Corridor,West main corridor,314
19,MU-C-WEST-SOUTH,MU,Corridor,Southwest corridor,911
19,MU-C-SOUTH-COURT,MU,Corridor,Southwest court corridor,615
19,MU-C-CENTER-MAIN,MU,Corridor,Central main corridor,1597
19,MU-C-NORTH-COURT,MU,Corridor,North central court corridor,3809
19,MU-C-CENTER-HUB,MU,Corridor,Central hub corridor,365
19,MU-C-VERTICAL,MU,Corridor,Central vertical corridor,140
19,MU-C-EAST-HUB,MU,Corridor,East central corridor,902
19,MU-C-EAST-WING,MU,Corridor,East wing corridor,343
19,MU-C-SOUTH-EAST,MU,Corridor,Southeast lower corridor,106
19,MU34,MU,Retail,MU34,62
19,MU35,MU,Anchor_Retail,MU35,172
19,MU36,MU,Retail,MU36,73
19,MU37,MU,Retail,MU37,63
19,MU38,MU,Retail,MU38,79
19,MU39,MU,Retail,MU39,88
19,MU40,MU,Retail,MU40,31
19,MU41a,MU,Retail,MU41a,130
19,MU41b,MU,Retail,MU41b,73
19,MU42,MU,Anchor_Retail,MU42,109
19,MU43a,MU,Retail,MU43a,22
19,MU43b,MU,Retail,MU43b,23
19,MU44,MU,Retail,MU44,30
19,MU45,MU,Retail,MU45,44
19,MU45a,MU,Retail,MU45a,47
19,MU46,MU,Retail,MU46,66
19,MU47a,MU,Retail,MU47a,106
19,MU47b,MU,Retail,MU47b,60
19,MU48,MU,Retail,MU48,92
19,MU49,MU,Retail,MU49,20
19,MU50,MU,Retail,MU50,20
19,MU51,MU,Retail,MU51,55
19,MU52,MU,Retail,MU52,26
19,MU53,MU,Retail,MU53,26
19,MU54,MU,Retail,MU54,17
19,MU55,MU,Anchor_Retail,MU55,84
19,MU32_MU33,MU,Retail_Combined,MU32 & MU33,154
19,MU31,MU,Retail,MU31,102
19,MU29_MU30,MU,Retail_Combined,MU29 & MU30,64
19,MU28,MU,Retail,MU28,101
19,MU27,MU,Retail,MU27,49
19,MU26,MU,Retail,MU26,38
19,MU25,MU,Retail,MU25,55
19,MU24,MU,Retail,MU24,60
19,MU22,MU,Retail,MU22,91
19,MU20,MU,Retail,MU20,238
19,MU21,MU,Retail,MU21,357
19,MU19,MU,Retail,MU19,226
19,MU18,MU,Retail,MU18,256
19,MU17,MU,Retail_Kiosk,MU17,303
